location_aaq,lat_aaq,lon_aaq,location_aqi,lat_aqi,lon_aqi,Date,Benzene,CO,PM2.5,NH3,PM10,NOx,Toluene,Xylene,Ozone,SO2,aqi,altitude
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,17.42616000000004,78.45210000000003,2016-01-01,0.122069466991342,1.9008727747059349,,126.0,126.0,68.79384311893193,7.874168667948899,0.0081305803571428,5.814413324579256,,115.17857142857144,532.0
HCU,17.802515696000057,79.01075984700003,R C Puram,17.802515696000057,79.01075984700003,2016-01-01,0.7887330483870968,0.914516129032258,49.45161290322581,20.52432290322581,102.96774193548389,59.705380645161306,3.751136290322581,0.0,27.070967741935483,13.042545483870969,98.11111111111111,464.0
Zoopark,16.777300000000025,78.01248000000004,Zoopark,16.777300000000025,78.01248000000004,2016-01-01,4.751027935483872,1.1432645161290322,79.1491935483871,10.458198387096774,165.24059161290322,58.755688709677415,9.404371806451612,2.1246036193548385,32.190325483870964,11.350934548387098,170.4193548387097,530.0
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,17.45876000000004,78.44310000000007,2016-01-01,2.372242,0.8741303,72.22408,,,67.1101,21.32846,1.031938,78.83308,5.29469,151.5,549.0
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,17.56176000000005,78.17238000000003,2016-01-01,0.5079589445161289,1.493887322580645,54.1,43.8,104.7,82.7,7.0,2.0,43.6,23.1,111.0,531.0
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,,,2016-01-01,0.122069466991342,1.9008727747059349,,126.0,126.0,68.79384311893193,7.874168667948899,0.0081305803571428,5.814413324579256,,,532.0
HCU,17.802515696000057,79.01075984700003,BPPA,17.802515696000057,79.01075984700003,2016-01-01,0.7887330483870968,0.914516129032258,49.45161290322581,20.52432290322581,102.96774193548389,59.705380645161306,3.751136290322581,0.0,27.070967741935483,13.042545483870969,77.0,464.0
Zoopark,16.777300000000025,78.01248000000004,Balanagar,16.948050000000023,78.18444000000005,2016-01-01,4.751027935483872,1.1432645161290322,79.1491935483871,10.458198387096774,165.24059161290322,58.755688709677415,9.404371806451612,2.1246036193548385,32.190325483870964,11.350934548387098,162.66666666666666,530.0
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,17.42616000000004,78.45210000000003,2016-01-01,2.372242,0.8741303,72.22408,,,67.1101,21.32846,1.031938,78.83308,5.29469,115.17857142857144,549.0
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,17.62516000000005,78.08237000000008,2016-01-01,0.5079589445161289,1.493887322580645,54.1,43.8,104.7,82.7,7.0,2.0,43.6,23.1,79.22222222222223,531.0
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",,,2016-01-01,0.122069466991342,1.9008727747059349,,126.0,126.0,68.79384311893193,7.874168667948899,0.0081305803571428,5.814413324579256,,,532.0
HCU,17.802515696000057,79.01075984700003,IITH ,,,2016-01-01,0.7887330483870968,0.914516129032258,49.45161290322581,20.52432290322581,102.96774193548389,59.705380645161306,3.751136290322581,0.0,27.070967741935483,13.042545483870969,,464.0
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",,,2016-01-01,4.751027935483872,1.1432645161290322,79.1491935483871,10.458198387096774,165.24059161290322,58.755688709677415,9.404371806451612,2.1246036193548385,32.190325483870964,11.350934548387098,,530.0
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",,,2016-01-01,2.372242,0.8741303,72.22408,,,67.1101,21.32846,1.031938,78.83308,5.29469,,549.0
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,,,2016-01-01,0.5079589445161289,1.493887322580645,54.1,43.8,104.7,82.7,7.0,2.0,43.6,23.1,,531.0
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,17.42616000000004,78.45210000000003,2016-02-01,0.002183908045977,1.57927647918465,,109.714377506943,109.714377506943,51.09861611669338,0.1840277777777777,0.0071494252873563,2.551923576090743,,104.24137931034484,532.0
HCU,17.802515696000057,79.01075984700003,R C Puram,17.802515696000057,79.01075984700003,2016-02-01,0.4394402689655171,0.9606896551724138,40.241379310344826,19.332530344827585,90.96551724137932,54.4317072413793,2.946200379310345,0.0019736299999999,23.0448275862069,9.351497586206898,96.55555555555556,464.0
Zoopark,16.777300000000025,78.01248000000004,Zoopark,16.777300000000025,78.01248000000004,2016-02-01,1.6,1.0524137931034483,62.241379310344826,10.429519655172411,130.68965517241378,57.6,8.3,2.2,38.9,6.196917862068966,132.79310344827587,530.0
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,17.45876000000004,78.44310000000007,2016-02-01,1.2,0.7153846153846153,53.0,,,46.2,14.8,0.7306988769230768,73.3,4.7,96.1923076923077,549.0
Pashamylaram,17.56176000000005,78.17238000000003,Pashamylaram,17.56176000000005,78.17238000000003,2016-02-01,0.4126085025925927,1.4243429629629627,45.0,29.8,92.05781814814814,62.7,4.9,1.2618252944444446,55.7,12.0,93.33333333333331,531.0
Punjagutta,17.42616000000004,78.45210000000003,Khairthabad RTA,,,2016-02-01,0.002183908045977,1.57927647918465,,109.714377506943,109.714377506943,51.09861611669338,0.1840277777777777,0.0071494252873563,2.551923576090743,,,532.0
HCU,17.802515696000057,79.01075984700003,BPPA,17.802515696000057,79.01075984700003,2016-02-01,0.4394402689655171,0.9606896551724138,40.241379310344826,19.332530344827585,90.96551724137932,54.4317072413793,2.946200379310345,0.0019736299999999,23.0448275862069,9.351497586206898,76.0,464.0
Zoopark,16.777300000000025,78.01248000000004,Balanagar,16.948050000000023,78.18444000000005,2016-02-01,1.6,1.0524137931034483,62.241379310344826,10.429519655172411,130.68965517241378,57.6,8.3,2.2,38.9,6.196917862068966,175.66666666666666,530.0
Sanathnagar,17.45876000000004,78.44310000000007,Panjagutta,17.42616000000004,78.45210000000003,2016-02-01,1.2,0.7153846153846153,53.0,,,46.2,14.8,0.7306988769230768,73.3,4.7,104.24137931034484,549.0
Pashamylaram,17.56176000000005,78.17238000000003,Sangareddy,17.62516000000005,78.08237000000008,2016-02-01,0.4126085025925927,1.4243429629629627,45.0,29.8,92.05781814814814,62.7,4.9,1.2618252944444446,55.7,12.0,70.11111111111111,531.0
Punjagutta,17.42616000000004,78.45210000000003,"Buddha Purnima Project office, Tank Bund",,,2016-02-01,0.002183908045977,1.57927647918465,,109.714377506943,109.714377506943,51.09861611669338,0.1840277777777777,0.0071494252873563,2.551923576090743,,,532.0
HCU,17.802515696000057,79.01075984700003,IITH ,,,2016-02-01,0.4394402689655171,0.9606896551724138,40.241379310344826,19.332530344827585,90.96551724137932,54.4317072413793,2.946200379310345,0.0019736299999999,23.0448275862069,9.351497586206898,,464.0
Zoopark,16.777300000000025,78.01248000000004,"Balanagar , CITD office ",,,2016-02-01,1.6,1.0524137931034483,62.241379310344826,10.429519655172411,130.68965517241378,57.6,8.3,2.2,38.9,6.196917862068966,,530.0
Sanathnagar,17.45876000000004,78.44310000000007,"Kukatpally, JNTU",,,2016-02-01,1.2,0.7153846153846153,53.0,,,46.2,14.8,0.7306988769230768,73.3,4.7,,549.0
Pashamylaram,17.56176000000005,78.17238000000003,ICRISAT,,,2016-02-01,0.4126085025925927,1.4243429629629627,45.0,29.8,92.05781814814814,62.7,4.9,1.2618252944444446,55.7,12.0,,531.0
Punjagutta,17.42616000000004,78.45210000000003,Panjagutta,17.42616000000004,78.45210000000003,2016-03-01,0.0,1.54,,118.89,118.89,66.17,0.22,0.0,4.41,,112.70967741935485,532.0
HCU,17.802515696000057,79.01075984700003,R C Puram,17.802515696000057,79.01075984700003,2016-03-01,0.5,1.04,41.0,18.0,106.0,57.4,3.1,0.5,29.0,10.7,93.22222222222224,464.0
Zoopark,16.777300000000025,78.01248000000004,Zoopark,16.777300000000025,78.01248000000004,2016-03-01,1.652976158064516,0.9983929741935484,59.354838709677416,10.351596451612904,131.61290322580646,55.81363636363635,7.839819096774192,2.6286202967741925,44.33851387096774,5.4204034838709685,124.74193548387096,530.0
Sanathnagar,17.45876000000004,78.44310000000007,Sanathnagar,17.45876000000004,78.44310000000007,2016-03-01,1.1,0.76,61.0,,,48.3,10.1,1.2,76.6,6.3,109.6206896551724,549.0
